timestamp,region,source,mw
2025-04-01 00:00:00+00:00,North,Solar,7.560173705622394
2025-04-01 00:00:00+00:00,West,Solar,7.105153419290704
2025-04-01 00:00:00+00:00,North,Wind,8.492551347174102
2025-04-01 00:00:00+00:00,West,Wind,12.526873956755924
2025-04-01 01:00:00+00:00,West,Solar,7.780316199076721
2025-04-01 01:00:00+00:00,North,Solar,6.730639567704751
2025-04-01 01:00:00+00:00,West,Wind,13.484646667914856
2025-04-01 01:00:00+00:00,North,Wind,13.505988068758262
2025-04-01 02:00:00+00:00,West,Wind,14.090267601051039
2025-04-01 02:00:00+00:00,West,Solar,12.788336804430289
2025-04-01 02:00:00+00:00,North,Wind,15.169294808005194
2025-04-01 02:00:00+00:00,North,Solar,11.398752563546928
2025-04-01 03:00:00+00:00,North,Solar,14.805612717632515
2025-04-01 03:00:00+00:00,West,Wind,11.970237464045795
2025-04-01 03:00:00+00:00,West,Solar,15.013204351600823
2025-04-01 03:00:00+00:00,North,Wind,13.65252313162252
2025-04-01 04:00:00+00:00,West,Wind,16.233247567540513
2025-04-01 04:00:00+00:00,West,Solar,18.70883660220873
2025-04-01 04:00:00+00:00,North,Wind,13.7289430983824
2025-04-01 04:00:00+00:00,North,Solar,16.50288415691039
2025-04-01 05:00:00+00:00,North,Solar,22.30782341470981
2025-04-01 05:00:00+00:00,North,Wind,12.6009669084302
2025-04-01 05:00:00+00:00,West,Solar,22.132485295343837
2025-04-01 05:00:00+00:00,West,Wind,14.617735337348064
2025-04-01 06:00:00+00:00,West,Solar,20.8800146443719
2025-04-01 06:00:00+00:00,West,Wind,10.908270236422645
2025-04-01 06:00:00+00:00,North,Solar,20.604772996456255
2025-04-01 06:00:00+00:00,North,Wind,11.465802487448375
2025-04-01 07:00:00+00:00,North,Wind,13.342506395056605
2025-04-01 07:00:00+00:00,West,Solar,21.267636749708846
2025-04-01 07:00:00+00:00,North,Solar,21.39039961349078
2025-04-01 07:00:00+00:00,West,Wind,10.726456050549334
2025-04-01 08:00:00+00:00,West,Solar,20.93619226856805
2025-04-01 08:00:00+00:00,North,Wind,9.352145623753033
2025-04-01 08:00:00+00:00,West,Wind,12.094813678645632
2025-04-01 08:00:00+00:00,North,Solar,19.220627814475343
2025-04-01 09:00:00+00:00,North,Wind,10.240289799302506
2025-04-01 09:00:00+00:00,West,Solar,12.487421654480023
2025-04-01 09:00:00+00:00,North,Solar,14.14071328122183
2025-04-01 09:00:00+00:00,West,Wind,10.492153856767999
2025-04-01 10:00:00+00:00,West,Wind,9.429743001992064
2025-04-01 10:00:00+00:00,North,Wind,11.351852417155879
2025-04-01 10:00:00+00:00,North,Solar,12.946400079955474
2025-04-01 10:00:00+00:00,West,Solar,9.911297237708851
2025-04-01 11:00:00+00:00,North,Wind,7.076262297333998
2025-04-01 11:00:00+00:00,West,Wind,8.470557622765993
2025-04-01 11:00:00+00:00,West,Solar,9.56387257260095
2025-04-01 11:00:00+00:00,North,Solar,9.426661636857753
2025-04-01 12:00:00+00:00,North,Solar,3.995141420581687
2025-04-01 12:00:00+00:00,West,Solar,5.542482054224435
2025-04-01 12:00:00+00:00,North,Wind,11.69613962685796
2025-04-01 12:00:00+00:00,West,Wind,8.194074013220762
2025-04-01 13:00:00+00:00,North,Wind,11.43287046939187
2025-04-01 13:00:00+00:00,North,Solar,3.4445513450694345
2025-04-01 13:00:00+00:00,West,Solar,8.386924752770618
2025-04-01 13:00:00+00:00,West,Wind,8.96025570413091
2025-04-01 14:00:00+00:00,West,Solar,5.488668431345716
2025-04-01 14:00:00+00:00,North,Wind,10.911398867492952
2025-04-01 14:00:00+00:00,North,Solar,4.553645174199479
2025-04-01 14:00:00+00:00,West,Wind,7.080971190917661
2025-04-01 15:00:00+00:00,West,Wind,7.751175896960677
2025-04-01 15:00:00+00:00,West,Solar,5.565388087956019
2025-04-01 15:00:00+00:00,North,Solar,7.469657418423582
